date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"November 1, 2016",California,Pomona,800 block of East La Verne Ave,0,1,http://www.gunviolencearchive.org/incident/691145,http://ktla.com/2016/11/01/12-year-old-hospitalized-in-pomona-after-being-shot-in-the-chest/
"November 1, 2016",Connecticut,Hartford,Flatbush and Newfield Avenues,0,0,http://www.gunviolencearchive.org/incident/693264,http://wtnh.com/2016/11/03/west-hartford-pair-busted-with-drugs-gun-cash/
"November 1, 2016",Texas,Mansfield,Country Club Drive,0,1,http://www.gunviolencearchive.org/incident/692479,http://www.star-telegram.com/news/local/community/arlington/article112422712.html
"November 1, 2016",Ohio,Brookville,799 Arlington Road,1,1,http://www.gunviolencearchive.org/incident/690284,http://www.whio.com/news/crime--law/brookville-shootout-suspect-sentenced-years/1r5SyLhXJsqXRSpALfqmyH/
"November 1, 2016",Illinois,Alton,300 Lindenwood Blvd,0,0,http://www.gunviolencearchive.org/incident/973724,http://www.thetelegraph.com/news/111474/alton-man-indicted-for-home-invasion-being-armed-habitual-criminal
"November 1, 2016",Delaware,Wilmington,200 block of E. 24th St.,1,0,http://www.gunviolencearchive.org/incident/691326,http://www.delawareonline.com/story/news/crime/2016/11/04/wilmington-fatal-shooting-victim-identified-delaware/93296396/
"November 1, 2016",Florida,Tampa (Temple Terrace),Queen Brooks Ct and Davis Rd,0,0,http://www.gunviolencearchive.org/incident/694151,http://www.tampabay.com/news/hillsborough/crime/
"November 1, 2016",New York,Brooklyn,Lincoln Pl and Eastern Pkwy,1,0,http://www.gunviolencearchive.org/incident/691599,https://www.dnainfo.com/new-york/20161109/crown-heights/charged-fatal-shooting-homeless-eastern-parkway-nypd
"November 1, 2016",Alabama,Irvington,N/A,0,0,http://www.gunviolencearchive.org/incident/781154,https://www.justice.gov/usao-sdal/pr/felon-possession-firearm-sentenced-federal-court-3
"November 1, 2016",Tennessee,Antioch,Treetop Drive and Pebble Creek Drive,0,0,http://www.gunviolencearchive.org/incident/691283,http://www.wsmv.com/story/33585651/domestic-violence-standoff-blocks-antioch-neighborhood
"November 1, 2016",Arkansas,Jonesboro,2200 block of Clover Drive,0,1,http://www.gunviolencearchive.org/incident/691269,http://www.kait8.com/story/33581036/jonesboro-police-investigate-shooting-searching-for-suspect
"November 1, 2016",Tennessee,Humboldt,North Avenue,0,1,http://www.gunviolencearchive.org/incident/691296,http://www.wbbjtv.com/2016/11/01/humboldt-police-investigate-overnight-shooting/
"November 1, 2016",Kansas,Wichita,McCormick Street and Southwest Boulevard,0,1,http://www.gunviolencearchive.org/incident/691298,http://www.kake.com/story/33581072/shooting-at-southwest-wichita-business
"November 1, 2016",District of Columbia,Washington,1565 Morris Road SE,0,0,http://www.gunviolencearchive.org/incident/691138,http://www.nbcwashington.com/news/local/Boy-3-Found-at-DC-School-With-Loaded-Pistol-Father-Arrested-399580661.html
"November 1, 2016",Iowa,Cedar Rapids,Coe Road NE,0,1,http://www.gunviolencearchive.org/incident/690312,http://cbs2iowa.com/news/local/names-released-in-cedar-rapids-officer-involved-shooting
"November 1, 2016",Florida,Tampa,Warrington Way,1,0,http://www.gunviolencearchive.org/incident/765890,http://www.abcactionnews.com/news/crime/brothers-arrested-in-murder-arson-cover-up
"November 1, 2016",Florida,Jacksonville,5624 Cagle Rd,0,1,http://www.gunviolencearchive.org/incident/831507,http://www.news4jax.com/news/man-arrested-in-2016-home-invasion-robbery-at-econo-lodge
"November 1, 2016",South Carolina,Spartanburg,N/A,0,0,http://www.gunviolencearchive.org/incident/871386,https://www.justice.gov/usao-sc/pr/real-time-spartanburg-man-sentenced-federal-court-possessing-firearms-and-ammunition
"November 1, 2016",Maryland,Baltimore,2600 block of Greenmount Avenue,0,0,http://www.gunviolencearchive.org/incident/692561,https://www.facebook.com/BaltimoreCityPolice/posts/10153875965421956:0
"November 1, 2016",Colorado,Canon City,Sherman Ave,0,1,http://www.gunviolencearchive.org/incident/690800,http://gazette.com/information-sought-in-caon-city-shooting/article/1589156
"November 1, 2016",California,Sacramento,3500 Florin Road,0,0,http://www.gunviolencearchive.org/incident/692087,http://www.sacbee.com/news/local/crime/article112111327.html
"November 1, 2016",Massachusetts,Fall River,Durfee Street and Odd Street,0,0,http://www.gunviolencearchive.org/incident/692571,http://www.heraldnews.com/news/20161103/fall-river-police-seek-suspects-in-moped-drive-by-shooting
"November 1, 2016",North Carolina,Winston Salem (Winston-salem),Redbud Ln,0,0,http://www.gunviolencearchive.org/incident/691428,http://www.wxii12.com/article/police-man-shoots-at-woman-involved-in-dispute-with-another-man/8078023
"November 1, 2016",District of Columbia,Washington,1300 block of Congress Street SE,0,2,http://www.gunviolencearchive.org/incident/691323,https://www.washingtonpost.com/local/public-safety/two-men-shot-wounded-in-southeast-washington/2016/11/01/7f50a88c-a09a-11e6-a44d-cc2898cfab06_story.html
