date,state,city_or_county,address,n_killed,n_injured,incident_url,source_url
"August 1, 2017",Illinois,Chicago,800 block of N Monticello Ave,0,4,http://www.gunviolencearchive.org/incident/903853,http://www.chicagotribune.com/news/local/breaking/ct-boy-16-shot-in-grand-crossing-20170801-story.html
"August 1, 2017",Alabama,Anniston,1000 block of Sugarloaf Lane,0,2,http://www.gunviolencearchive.org/incident/904056,https://www.annistonstar.com/news/crime/two-anniston-men-taken-to-local-hospital-after-shooting/article_08c8314c-7710-11e7-9960-37f643e9a905.html
"August 1, 2017",Texas,Big Spring,1410 E 11th Pl,0,1,http://www.gunviolencearchive.org/incident/904059,http://kbestmedia.com/kbest-station-updates/316358
"August 1, 2017",Indiana,Greenwood,780 Leisure Ln,0,1,http://www.gunviolencearchive.org/incident/904124,http://www.dailyjournal.net/2017/08/03/man_arrested_in_shooting/
"August 1, 2017",Pennsylvania,New Castle,S Jefferson St,0,1,http://www.gunviolencearchive.org/incident/903108,http://www.wfmj.com/story/36018600/police-investigating-shooting-in-new-castle
"August 1, 2017",Louisiana,Baton Rouge,1100 block of Cristy Dr,0,2,http://www.gunviolencearchive.org/incident/904075,http://www.theadvocate.com/baton_rouge/news/crime_police/article_acb83f0a-7787-11e7-9437-43f2fcb1d059.html
"August 1, 2017",Arkansas,Little Rock,30 block of Rosemoor Drive,0,1,http://www.gunviolencearchive.org/incident/904081,http://www.arkansasonline.com/news/2017/aug/01/police-little-rock-man-goes-walk-his-dog-shot-robb/?f=crime
"August 1, 2017",Wisconsin,Madison (Fitchburg),5100 block of Anton Dr,0,1,http://www.gunviolencearchive.org/incident/903770,http://www.channel3000.com/news/crime/1-injured-in-fitchburg-shooting-police-say/597359389
"August 1, 2017",Kentucky,Covington,300 block of East 13th Street,1,1,http://www.gunviolencearchive.org/incident/903711,http://local12.com/news/local/covington-police-identify-victims-in-second-deadly-shooting-at-same-intersectiono
"August 1, 2017",Washington,Toppenish,8000 Block of Lateral C Rd,0,6,http://www.gunviolencearchive.org/incident/904106,http://www.nbcrightnow.com/story/36024336/18-year-old-injures-six-others-with-birdshot-loaded-shotgun
"August 1, 2017",Florida,Crestview,N/A,0,0,http://www.gunviolencearchive.org/incident/904116,http://www.nwfdailynews.com/news/20170801/police-man-charged-after-firing-gun-at-car
